Ref,Val,Package,PosX,PosY,Rot,Side
"D286","RED","LED_0603_1608Metric",234.000000,-121.000000,90.000000,top
"D287","RED","LED_0603_1608Metric",237.000000,-121.000000,90.000000,top
"D288","RED","LED_0603_1608Metric",240.000000,-121.000000,90.000000,top
"D289","RED","LED_0603_1608Metric",243.000000,-121.000000,90.000000,top
"D290","RED","LED_0603_1608Metric",150.000000,-142.000000,90.000000,top
"D291","RED","LED_0603_1608Metric",153.000000,-142.000000,90.000000,top
"D292","RED","LED_0603_1608Metric",156.000000,-142.000000,90.000000,top
"D293","RED","LED_0603_1608Metric",159.000000,-142.000000,90.000000,top
"D294","RED","LED_0603_1608Metric",162.000000,-142.000000,90.000000,top
"D295","RED","LED_0603_1608Metric",165.000000,-142.000000,90.000000,top
"D296","RED","LED_0603_1608Metric",168.000000,-142.000000,90.000000,top
"D297","RED","LED_0603_1608Metric",171.000000,-142.000000,90.000000,top
"D298","RED","LED_0603_1608Metric",150.000000,-124.000000,90.000000,top
"D299","RED","LED_0603_1608Metric",153.000000,-124.000000,90.000000,top
"D300","RED","LED_0603_1608Metric",156.000000,-124.000000,90.000000,top
"D301","RED","LED_0603_1608Metric",159.000000,-124.000000,90.000000,top
"D302","RED","LED_0603_1608Metric",162.000000,-124.000000,90.000000,top
"D303","RED","LED_0603_1608Metric",165.000000,-124.000000,90.000000,top
"D304","RED","LED_0603_1608Metric",168.000000,-124.000000,90.000000,top
"D305","RED","LED_0603_1608Metric",171.000000,-124.000000,90.000000,top
"D306","RED","LED_0603_1608Metric",150.000000,-127.000000,90.000000,top
"D307","RED","LED_0603_1608Metric",153.000000,-127.000000,90.000000,top
"D308","RED","LED_0603_1608Metric",156.000000,-127.000000,90.000000,top
"D309","RED","LED_0603_1608Metric",159.000000,-127.000000,90.000000,top
"D310","RED","LED_0603_1608Metric",162.000000,-127.000000,90.000000,top
"D311","RED","LED_0603_1608Metric",165.000000,-127.000000,90.000000,top
"D312","RED","LED_0603_1608Metric",168.000000,-127.000000,90.000000,top
"D313","RED","LED_0603_1608Metric",171.000000,-127.000000,90.000000,top
"D314","RED","LED_0603_1608Metric",150.000000,-136.000000,90.000000,top
"D315","RED","LED_0603_1608Metric",153.000000,-136.000000,90.000000,top
"D316","RED","LED_0603_1608Metric",156.000000,-136.000000,90.000000,top
"D317","RED","LED_0603_1608Metric",159.000000,-136.000000,90.000000,top
"D318","RED","LED_0603_1608Metric",162.000000,-136.000000,90.000000,top
"D319","RED","LED_0603_1608Metric",165.000000,-136.000000,90.000000,top
"D320","RED","LED_0603_1608Metric",168.000000,-136.000000,90.000000,top
"D321","RED","LED_0603_1608Metric",171.000000,-136.000000,90.000000,top
"D322","RED","LED_0603_1608Metric",150.000000,-133.000000,90.000000,top
"D323","RED","LED_0603_1608Metric",153.000000,-133.000000,90.000000,top
"D324","RED","LED_0603_1608Metric",156.000000,-133.000000,90.000000,top
"D325","RED","LED_0603_1608Metric",159.000000,-133.000000,90.000000,top
"D326","RED","LED_0603_1608Metric",162.000000,-133.000000,90.000000,top
"D327","RED","LED_0603_1608Metric",165.000000,-133.000000,90.000000,top
"D328","RED","LED_0603_1608Metric",168.000000,-133.000000,90.000000,top
"D329","RED","LED_0603_1608Metric",171.000000,-133.000000,90.000000,top
"D330","RED","LED_0603_1608Metric",150.000000,-130.000000,90.000000,top
"D331","RED","LED_0603_1608Metric",153.000000,-130.000000,90.000000,top
"D332","RED","LED_0603_1608Metric",156.000000,-130.000000,90.000000,top
"D333","RED","LED_0603_1608Metric",159.000000,-130.000000,90.000000,top
"D334","RED","LED_0603_1608Metric",162.000000,-130.000000,90.000000,top
"D335","RED","LED_0603_1608Metric",165.000000,-130.000000,90.000000,top
"D336","RED","LED_0603_1608Metric",168.000000,-130.000000,90.000000,top
"D337","RED","LED_0603_1608Metric",171.000000,-130.000000,90.000000,top
"D338","RED","LED_0603_1608Metric",222.000000,-118.000000,90.000000,top
"D339","RED","LED_0603_1608Metric",225.000000,-118.000000,90.000000,top
"D340","RED","LED_0603_1608Metric",228.000000,-118.000000,90.000000,top
"D341","RED","LED_0603_1608Metric",231.000000,-118.000000,90.000000,top
"D342","RED","LED_0603_1608Metric",234.000000,-118.000000,90.000000,top
"D343","RED","LED_0603_1608Metric",237.000000,-118.000000,90.000000,top
